C:\Users\Aravinda\Desktop\IMG\center_2019_03_03_10_05_15_561.jpg,C:\Users\Aravinda\Desktop\IMG\left_2019_03_03_10_05_15_561.jpg,C:\Users\Aravinda\Desktop\IMG\right_2019_03_03_10_05_15_561.jpg,0,0,0,1.119903
C:\Users\Aravinda\Desktop\IMG\center_2019_03_03_10_05_15_630.jpg,C:\Users\Aravinda\Desktop\IMG\left_2019_03_03_10_05_15_630.jpg,C:\Users\Aravinda\Desktop\IMG\right_2019_03_03_10_05_15_630.jpg,0,0,0,1.110903
C:\Users\Aravinda\Desktop\IMG\center_2019_03_03_10_05_15_703.jpg,C:\Users\Aravinda\Desktop\IMG\left_2019_03_03_10_05_15_703.jpg,C:\Users\Aravinda\Desktop\IMG\right_2019_03_03_10_05_15_703.jpg,0,0,0,1.101974
C:\Users\Aravinda\Desktop\IMG\center_2019_03_03_10_05_15_777.jpg,C:\Users\Aravinda\Desktop\IMG\left_2019_03_03_10_05_15_777.jpg,C:\Users\Aravinda\Desktop\IMG\right_2019_03_03_10_05_15_777.jpg,0,0,0,1.095325
C:\Users\Aravinda\Desktop\IMG\center_2019_03_03_10_05_15_852.jpg,C:\Users\Aravinda\Desktop\IMG\left_2019_03_03_10_05_15_852.jpg,C:\Users\Aravinda\Desktop\IMG\right_2019_03_03_10_05_15_852.jpg,0,0,0,1.086522
C:\Users\Aravinda\Desktop\IMG\center_2019_03_03_10_05_15_927.jpg,C:\Users\Aravinda\Desktop\IMG\left_2019_03_03_10_05_15_927.jpg,C:\Users\Aravinda\Desktop\IMG\right_2019_03_03_10_05_15_927.jpg,0,0,0,1.07779
C:\Users\Aravinda\Desktop\IMG\center_2019_03_03_10_05_16_004.jpg,C:\Users\Aravinda\Desktop\IMG\left_2019_03_03_10_05_16_004.jpg,C:\Users\Aravinda\Desktop\IMG\right_2019_03_03_10_05_16_004.jpg,0,0,0,1.069128
C:\Users\Aravinda\Desktop\IMG\center_2019_03_03_10_05_16_078.jpg,C:\Users\Aravinda\Desktop\IMG\left_2019_03_03_10_05_16_078.jpg,C:\Users\Aravinda\Desktop\IMG\right_2019_03_03_10_05_16_078.jpg,0,0,0,1.062677
C:\Users\Aravinda\Desktop\IMG\center_2019_03_03_10_05_16_153.jpg,C:\Users\Aravinda\Desktop\IMG\left_2019_03_03_10_05_16_153.jpg,C:\Users\Aravinda\Desktop\IMG\right_2019_03_03_10_05_16_153.jpg,0,0,0,1.054136
C:\Users\Aravinda\Desktop\IMG\center_2019_03_03_10_05_16_229.jpg,C:\Users\Aravinda\Desktop\IMG\left_2019_03_03_10_05_16_229.jpg,C:\Users\Aravinda\Desktop\IMG\right_2019_03_03_10_05_16_229.jpg,0,0,0,1.045664
